아티스트,곡정보,앨범,좋아요
티아라,Roly-Poly,존트라볼타 워너비,"43,951"
GG (박명수 & G-Dragon),바람났어 (Feat. 박봄),무한도전 서해안 고속도로 가요제,"26,879"
2NE1,내가 제일 잘 나가,내가 제일 잘 나가 (Digital Single),"37,123"
비스트,비가 오는 날엔,비가 오는 날엔,"134,085"
리쌍,"19금 TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm)",AsuRa BalBalTa,"63,992"
씨스타,So Cool (쏘쿨),So Cool,"34,248"
2NE1,UGLY,2NE1 2nd Mini Album,"53,904"
아이유,좋은 날,Real,"151,838"
포맨 (4MEN),살다가 한번쯤,The Artist,"46,183"
다비치,안녕이라고 말하지마,Love Delight,"82,966"
노을,그리워 그리워,그리움,"75,056"
미쓰에이,Good-bye Baby,A Class,"22,356"
허각,Hello,LIKE 1st MINI ALBUM 'First Story',"105,001"
2PM,Hands Up,Hands Up,"17,500"
시크릿,별빛달빛,별빛달빛,"29,663"
f(x),Hot Summer,'Hot Summer' f(x) 1st Album Repackage,"38,284"
2NE1,Lonely,Lonely,"18,649"
처진 달팽이 (유재석 & 이적),압구정 날라리,무한도전 서해안 고속도로 가요제,"19,604"
김범수,끝사랑,Solista Part.2,"130,531"
원더걸스,Be My Baby,Wonder World,"39,897"
소녀시대 (GIRLS' GENERATION),The Boys,'The Boys' The 3rd Album,"28,840"
울랄라세션,서쪽 하늘,슈퍼스타K 3 Top11 Part 5,"66,292"
버스커 버스커,동경소녀,슈퍼스타K 3 Top11 Part 1,"44,481"
비스트,Fiction,Fiction And Fact,"69,488"
김범수,제발,[서바이벌 나는 가수다] 경연2. '서로의 노래 바꿔 부르기',"26,251"
박봄 (Park Bom),Don't Cry,Don't Cry,"29,571"
시크릿,샤이보이,샤이보이,"19,423"
현아,Bubble Pop!,Bubble Pop!,"33,938"
지나,Black & White,Black & White,"17,972"
리쌍,회상 (Feat. 백지영),AsuRa BalBalTa,"53,398"
마이티 마우스,톡톡 (Tok Tok) (Feat. SOYA),Mighty Fresh,"22,833"
2NE1,Hate You,2NE1 2nd Mini Album,"11,156"
티아라,Cry Cry,Black Eyes,"27,153"
BIGBANG (빅뱅),TONIGHT,빅뱅 미니앨범 4집,"45,470"
GD&TOP,Oh Yeah (Feat. 박봄),GD&TOP,"32,053"
씨스타19,Ma Boy (마보이),Ma Boy,"31,987"
아이유,나만 몰랐던 이야기,Real+,"110,488"
투개월,여우야,슈퍼스타K 3 Top11 Part 1,"23,308"
